i,segment,x,y,spacing,kappa_autoware,front_rad,rear_rad,rr_effective,velocity
0,straight1,0,0,0,0,0,0,0,1.11111
1,straight1,0.0689655,0,0.0689655,0,0,0,0,1.11111
2,straight1,0.137931,0,0.0689655,0,0,0,0,1.11111
3,straight1,0.206897,0,0.0689655,0,0,0,0,1.11111
4,straight1,0.275862,0,0.0689655,0,0,0,0,1.11111
5,straight1,0.344828,0,0.0689655,0,0,0,0,1.11111
6,straight1,0.413793,0,0.0689655,0,0,0,0,1.11111
7,straight1,0.482759,0,0.0689655,0,0,0,0,1.11111
8,straight1,0.551724,0,0.0689655,0,0,0,0,1.11111
9,straight1,0.62069,0,0.0689655,0,0,0,0,1.11111
10,straight1,0.689655,0,0.0689655,0,0,0,0,1.11111
11,straight1,0.758621,0,0.0689655,0,0,0,0,1.11111
12,straight1,0.827586,0,0.0689655,0,0,0,0,1.11111
13,straight1,0.896552,0,0.0689655,0,0,0,0,1.11111
14,straight1,0.965517,0,0.0689655,0,0,0,0,1.11111
15,straight1,1.03448,0,0.0689655,0,0,0,0,1.11111
16,straight1,1.10345,0,0.0689655,0,0,0,0,1.11111
17,straight1,1.17241,0,0.0689655,0,0,0,0,1.11111
18,straight1,1.24138,0,0.0689655,0,0,0,0,1.11111
19,straight1,1.31034,0,0.0689655,0,0,0,0,1.11111
20,straight1,1.37931,0,0.0689655,0,0,0,0,1.11111
21,straight1,1.44828,0,0.0689655,0.00213781,0.0042753,-2.87179e-07,-6.71717e-05,1.11111
22,straight1,1.51724,0,0.0689655,0.00919042,0.0183608,-2.1073e-05,-0.00114772,1.11111
23,straight1,1.58621,0,0.0689655,0.0222942,0.0443091,-0.000294152,-0.00663863,1.11111
24,straight1,1.65517,0,0.0689655,0.0428841,0.0839095,-0.00196413,-0.0234076,1.11111
25,straight1,1.72414,0,0.0689655,0.0727936,0.137716,-0.00838432,-0.0608813,1.11111
26,straight1,1.7931,0,0.0689655,0.114385,0.204706,-0.0260268,-0.127142,1.11111
27,straight1,1.86207,0,0.0689655,0.170718,0.283397,-0.0642962,-0.226877,1.11111
28,straight1,1.93103,0,0.0689655,0.245754,0.372625,-0.135991,-0.364955,1.11111
29,straight1,2,0,0.0689655,0.344564,0.469764,-0.259211,-0.55179,1.11111
30,arc,2,0,0,0.393824,0.510455,-0.330218,-0.646909,1.11111
31,arc,2.04027,0.000811002,0.0402741,0.483141,0.571567,-0.468207,-0.819165,1.11111
32,arc,2.08047,0.00324269,0.0402741,0.571434,0.617547,-0.605041,-0.979749,1.11111
33,arc,2.12054,0.00729113,0.0402741,0.657664,0.7,-0.7,-1,1.11111
34,arc,2.16041,0.0129497,0.0402741,0.740422,0.7,-0.7,-1,1.11111
35,arc,2.20003,0.0202093,0.0402741,0.817775,0.7,-0.7,-1,1.11111
36,arc,2.23932,0.0290582,0.0402741,0.887024,0.7,-0.7,-1,1.11111
37,arc,2.27822,0.0394819,0.0402741,0.94438,0.7,-0.7,-1,1.11111
38,arc,2.31667,0.0514636,0.0402741,0.984521,0.7,-0.7,-1,1.11111
39,arc,2.3546,0.0649838,0.0402741,1,0.7,-0.7,-1,1.11111
40,arc,2.39197,0.0800206,0.0402741,1,0.7,-0.7,-1,1.11111
41,arc,2.42869,0.0965496,0.0402741,1,0.7,-0.7,-1,1.11111
42,arc,2.46472,0.114544,0.0402741,1,0.7,-0.7,-1,1.11111
43,arc,2.5,0.133975,0.0402741,1,0.7,-0.7,-1,1.11111
44,arc,2.53447,0.15481,0.0402741,1,0.7,-0.7,-1,1.11111
45,arc,2.56806,0.177016,0.0402741,1,0.7,-0.7,-1,1.11111
46,arc,2.60074,0.200557,0.0402741,1,0.7,-0.7,-1,1.11111
47,arc,2.63245,0.225395,0.0402741,1,0.7,-0.7,-1,1.11111
48,arc,2.66312,0.251489,0.0402741,1,0.7,-0.7,-1,1.11111
49,arc,2.69272,0.278798,0.0402741,1,0.7,-0.7,-1,1.11111
50,arc,2.7212,0.307276,0.0402741,1,0.7,-0.7,-1,1.11111
51,arc,2.74851,0.336877,0.0402741,1,0.7,-0.7,-1,1.11111
52,arc,2.7746,0.367555,0.0402741,1,0.7,-0.7,-1,1.11111
53,arc,2.79944,0.399258,0.0402741,1,0.7,-0.7,-1,1.11111
54,arc,2.82298,0.431935,0.0402741,1,0.7,-0.7,-1,1.11111
55,arc,2.84519,0.465534,0.0402741,1,0.7,-0.7,-1,1.11111
56,arc,2.86603,0.5,0.0402741,1,0.7,-0.7,-1,1.11111
