i,segment,x,y,kappa,front_2ws,rear_2ws,vel_2ws,front_4ws,rear_4ws,vel_4ws,d_front,d_vel,vel_ratio
0,straight1,0,0,0,0,0,2.25353,0,0,2.19181,0,-0.0617225,0.972611
1,straight1,0.0689655,0,0,0,0,2.0346,0,0,1.922,0,-0.112599,0.944658
2,straight1,0.137931,0,0,0,0,1.87082,0,0,1.69666,0,-0.174162,0.906906
3,straight1,0.206897,0,0,0,0,1.74387,0,0,1.5251,0,-0.218763,0.874553
4,straight1,0.275862,0,0,0,0,1.64352,0,0,1.43735,0,-0.206176,0.874553
5,straight1,0.344828,0,0,0,0,1.56386,0,0,1.36768,0,-0.196182,0.874553
6,straight1,0.413793,0,0,0,0,1.50158,0,0,1.31321,0,-0.188369,0.874553
7,straight1,0.482759,0,0,0,0,1.45526,0,0,1.2727,0,-0.182559,0.874553
8,straight1,0.551724,0,0,0,0,1.42529,0,0,1.24649,0,-0.178799,0.874553
9,straight1,0.62069,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
10,straight1,0.689655,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
11,straight1,0.758621,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
12,straight1,0.827586,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
13,straight1,0.896552,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
14,straight1,0.965517,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
15,straight1,1.03448,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
16,straight1,1.10345,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
17,straight1,1.17241,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
18,straight1,1.24138,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
19,straight1,1.31034,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
20,straight1,1.37931,0,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
21,straight1,1.44828,0,0.00213781,0.00427559,0,1.41421,0.0042753,-2.87179e-07,1.2368,-2.92435e-07,-0.177409,0.874553
22,straight1,1.51724,0,0.00919042,0.0183788,0,1.41421,0.0183608,-2.1073e-05,1.2368,-1.7995e-05,-0.177409,0.874553
23,straight1,1.58621,0,0.0222942,0.0445588,0,1.23088,0.0443091,-0.000294152,1.2368,-0.000249658,0.00592089,1.00481
24,straight1,1.65517,0,0.0428841,0.0855589,0,0.80379,0.0839095,-0.00196413,0.975997,-0.00164934,0.172207,1.21424
25,straight1,1.72414,0,0.0727936,0.144571,0,0.486017,0.137716,-0.00838432,0.695164,-0.00685546,0.209147,1.43033
26,straight1,1.7931,0,0.114385,0.2249,0,0.312399,0.204706,-0.0260268,0.521702,-0.020193,0.209303,1.66999
27,straight1,1.86207,0,0.170718,0.329025,0,0.216842,0.283397,-0.0642962,0.379991,-0.0456285,0.16315,1.75239
28,straight1,1.93103,0,0.245754,0.45683,0,0.211551,0.372625,-0.135991,0.328262,-0.0842054,0.11671,1.55169
29,straight1,2,0,0.344564,0.603392,0,0.281299,0.469764,-0.259211,0.31185,-0.133628,0.0305518,1.10861
30,arc,2,0,0.393824,0.667164,0,0.324357,0.510455,-0.330218,0.244515,-0.156709,-0.0798418,0.753846
31,arc,2.04027,0.000811002,0.483141,0.768251,0,0.367012,0.571567,-0.468207,0.221576,-0.196685,-0.145436,0.603729
32,arc,2.08047,0.00324269,0.571434,0.851971,0,0.474692,0.617547,-0.605041,0.384728,-0.234425,-0.0899635,0.81048
33,arc,2.12054,0.00729113,0.657664,0.920757,0,0.645931,0.7,-0.7,0.733696,-0.220757,0.0877649,1.13587
34,arc,2.16041,0.0129497,0.740422,0.976847,0,0.903452,0.7,-0.7,1.2368,-0.276847,0.333353,1.36898
35,arc,2.20003,0.0202093,0.817775,1.02203,0,1.14354,0.7,-0.7,1.2368,-0.322026,0.0932686,1.08156
36,arc,2.23932,0.0290582,0.887024,1.05751,0,1.41421,0.7,-0.7,1.2368,-0.357509,-0.177409,0.874553
37,arc,2.27822,0.0394819,0.94438,1.08387,0,1.41421,0.7,-0.7,1.2368,-0.383869,-0.177409,0.874553
38,arc,2.31667,0.0514636,0.984521,1.10088,0,1.41421,0.7,-0.7,1.2368,-0.40088,-0.177409,0.874553
39,arc,2.3546,0.0649838,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
40,arc,2.39197,0.0800206,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
41,arc,2.42869,0.0965496,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
42,arc,2.46472,0.114544,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
43,arc,2.5,0.133975,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
44,arc,2.53447,0.15481,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
45,arc,2.56806,0.177016,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
46,arc,2.60074,0.200557,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
47,arc,2.63245,0.225395,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
48,arc,2.66312,0.251489,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
49,arc,2.69272,0.278798,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
50,arc,2.7212,0.307276,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
51,arc,2.74851,0.336877,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
52,arc,2.7746,0.367555,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
53,arc,2.79944,0.399258,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
54,arc,2.82298,0.431935,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
55,arc,2.84519,0.465534,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
56,arc,2.86603,0.5,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
57,arc,2.88546,0.535277,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
58,arc,2.90345,0.571307,1,1.10715,0,1.36676,0.7,-0.7,1.2368,-0.407149,-0.129956,0.904917
59,arc,2.91998,0.608033,1,1.10715,0,0.499662,0.7,-0.7,1.2368,-0.407149,0.737142,2.47528
60,arc,2.93502,0.645395,0.765538,0.99222,0,0.206402,0.7,-0.7,0.415142,-0.29222,0.20874,2.01133
61,arc,2.94854,0.683332,0.553848,0.836451,0,0.169141,0.609379,-0.578375,0.164825,-0.227072,-0.00431569,0.974485
62,arc,2.96052,0.721783,0.415006,0.692775,0,0.187927,0.526404,-0.362166,0.173038,-0.166371,-0.0148882,0.920776
63,arc,2.97094,0.760684,0.319678,0.568856,0,0.236385,0.447276,-0.225509,0.290179,-0.121579,0.0537938,1.22757
64,arc,2.97979,0.799974,0.250601,0.464609,0,0.312637,0.377894,-0.141328,0.495128,-0.0867149,0.182491,1.58371
65,arc,2.98705,0.839589,0.198296,0.377565,0,0.419367,0.317977,-0.0881473,0.729018,-0.0595874,0.309651,1.73838
